date,market_id,market_name,mandi_id,district,target_price_t_plus_7,split,model,prediction,lower_bound_inr_qtl,upper_bound_inr_qtl,covered,interval_width_inr_qtl,confidence_level
2025-04-29,4751,Pune(Manjri),maharashtra__punemanjri,pune,900.0,validation,moving_average_7d,1042.857142857143,832.4999999999999,1335.7142857142858,True,503.2142857142859,0.9
2025-04-29,4752,Pune(Moshi),maharashtra__punemoshi,pune,650.0,validation,moving_average_7d,857.1428571428571,646.7857142857141,1150.0,True,503.2142857142859,0.9
2025-04-30,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-04-30,168,Nasik,maharashtra__nasik,nashik,900.0,validation,moving_average_7d,907.1428571428572,696.7857142857142,1200.0,True,503.2142857142858,0.9
2025-04-30,172,Pune,maharashtra__pune,pune,950.0,validation,moving_average_7d,1028.571428571429,818.2142857142859,1321.4285714285718,True,503.2142857142859,0.9
2025-04-30,176,Solapur,maharashtra__solapur,solapur,700.0,validation,moving_average_7d,757.1428571428571,546.7857142857141,1050.0,True,503.2142857142859,0.9
2025-04-30,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,575.0,validation,moving_average_7d,717.8571428571429,507.4999999999999,1010.7142857142858,True,503.2142857142859,0.9
2025-04-30,1462,Satara,maharashtra__satara,satara,1200.0,validation,moving_average_7d,971.4285714285714,761.0714285714284,1264.2857142857142,True,503.2142857142858,0.9
2025-04-30,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1150.0,validation,moving_average_7d,1064.2857142857142,853.9285714285712,1357.142857142857,True,503.2142857142859,0.9
2025-04-30,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1150.0,validation,moving_average_7d,1128.571428571429,918.2142857142859,1421.4285714285718,True,503.2142857142859,0.9
2025-04-30,4751,Pune(Manjri),maharashtra__punemanjri,pune,900.0,validation,moving_average_7d,1042.857142857143,832.4999999999999,1335.7142857142858,True,503.2142857142859,0.9
2025-04-30,4752,Pune(Moshi),maharashtra__punemoshi,pune,650.0,validation,moving_average_7d,857.1428571428571,646.7857142857141,1150.0,True,503.2142857142859,0.9
2025-05-01,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-05-01,168,Nasik,maharashtra__nasik,nashik,750.0,validation,moving_average_7d,878.5714285714286,668.2142857142856,1171.4285714285716,True,503.214285714286,0.9
2025-05-01,172,Pune,maharashtra__pune,pune,950.0,validation,moving_average_7d,1014.2857142857144,803.9285714285714,1307.1428571428573,True,503.2142857142859,0.9
2025-05-01,176,Solapur,maharashtra__solapur,solapur,700.0,validation,moving_average_7d,757.1428571428571,546.7857142857141,1050.0,True,503.2142857142859,0.9
2025-05-01,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,500.0,validation,moving_average_7d,732.1428571428571,521.7857142857141,1025.0,False,503.2142857142859,0.9
2025-05-01,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,992.8571428571428,782.4999999999998,1285.7142857142858,True,503.214285714286,0.9
2025-05-01,2494,Pune(Pimpri),maharashtra__punepimpri,pune,950.0,validation,moving_average_7d,1078.571428571429,868.2142857142859,1371.4285714285718,True,503.2142857142859,0.9
2025-05-01,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1150.0,validation,moving_average_7d,1128.571428571429,918.2142857142859,1421.4285714285718,True,503.2142857142859,0.9
2025-05-01,4751,Pune(Manjri),maharashtra__punemanjri,pune,1100.0,validation,moving_average_7d,1057.142857142857,846.7857142857141,1350.0,True,503.2142857142859,0.9
2025-05-01,4752,Pune(Moshi),maharashtra__punemoshi,pune,850.0,validation,moving_average_7d,857.1428571428571,646.7857142857141,1150.0,True,503.2142857142859,0.9
2025-05-02,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-05-02,168,Nasik,maharashtra__nasik,nashik,800.0,validation,moving_average_7d,828.5714285714286,618.2142857142856,1121.4285714285716,True,503.214285714286,0.9
2025-05-02,169,Lasalgaon,maharashtra__lasalgaon,nashik,1125.0,validation,moving_average_7d,1207.142857142857,996.7857142857141,1500.0,True,503.2142857142859,0.9
2025-05-02,170,Pimpalgaon,maharashtra__pimpalgaon,nashik,1125.0,validation,moving_average_7d,1185.7142857142858,975.3571428571428,1478.5714285714287,True,503.2142857142859,0.9
2025-05-02,172,Pune,maharashtra__pune,pune,900.0,validation,moving_average_7d,985.7142857142856,775.3571428571425,1278.5714285714284,True,503.2142857142859,0.9
